Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,AStar,0.75,500,136.0
,AStar,0.75,500,126.0
,AStar,0.75,500,120.0
,AStar,0.75,163,41.0
,AStar,0.75,500,106.0
,AStar,0.75,500,105.0
,AStar,0.75,500,98.0
,AStar,0.75,500,107.0
,AStar,0.75,500,109.0
,AStar,0.75,500,94.0
,AStar,0.75,500,125.0
,AStar,0.75,500,126.0
,AStar,0.75,500,126.0
,AStar,0.75,500,107.0
,AStar,0.75,500,126.0
,AStar,0.75,500,101.0
,AStar,0.75,500,110.0
,AStar,0.75,500,126.0
,AStar,0.75,500,125.0
,Random (No Terminate),0.75,48,3.0
,Random (No Terminate),0.75,219,40.0
,Random (No Terminate),0.75,500,90.0
,Random (No Terminate),0.75,500,113.0
,Random (No Terminate),0.75,500,95.0
,Random (No Terminate),0.75,500,96.0
,Random (No Terminate),0.75,500,100.0
,Random (No Terminate),0.75,500,96.0
,Random (No Terminate),0.75,500,114.0
,Random (No Terminate),0.75,500,96.0
,Random (No Terminate),0.75,500,96.0
,Random (No Terminate),0.75,500,96.0
,Random (No Terminate),0.75,500,107.0
,Random (No Terminate),0.75,500,87.0
,Random (No Terminate),0.75,500,107.0
,Random (No Terminate),0.75,500,101.0
,Random (No Terminate),0.75,500,87.0
,Random (No Terminate),0.75,500,141.0
,Random (No Terminate),0.75,302,80.0
,Random (No Terminate),0.75,500,98.0
,Random (No Terminate),0.75,500,90.0
,Random (No Terminate),0.75,500,109.0
,Random (No Terminate),0.75,500,101.0
,Random (No Terminate),0.75,500,86.0
,Instant Terminate,0.1,5,0.0
,Instant Terminate,0.1,25,2.0
,Instant Terminate,0.1,28,0.0
,Instant Terminate,0.1,44,3.0
,Instant Terminate,0.1,52,3.0
,Instant Terminate,0.1,61,10.0
,Instant Terminate,0.1,63,5.0
,Instant Terminate,0.1,67,5.0
,Instant Terminate,0.1,48,3.0
,Instant Terminate,0.1,5,0.0
,Instant Terminate,0.1,66,5.0
,Instant Terminate,0.1,73,11.0
,Instant Terminate,0.1,48,7.0
,Instant Terminate,0.1,173,15.0
,Instant Terminate,0.1,115,12.0
,Instant Terminate,0.1,45,4.0
,Instant Terminate,0.1,5,0.0
,Instant Terminate,0.1,46,4.0
,Instant Terminate,0.1,213,21.0
,Instant Terminate,0.1,115,18.0
,AStar,0.1,366,54.0
,AStar,0.1,500,88.0
,AStar,0.1,500,125.0
,AStar,0.1,500,99.0
,AStar,0.1,500,132.0
,AStar,0.1,500,98.0
,AStar,0.1,500,132.0
,AStar,0.1,500,106.0
,AStar,0.1,500,106.0
,AStar,0.1,500,93.0
,AStar,0.1,500,82.0
,AStar,0.1,500,77.0
,AStar,0.1,500,106.0
,AStar,0.1,500,100.0
,AStar,0.1,500,99.0
,AStar,0.1,500,97.0
,AStar,0.1,186,40.0
,AStar,0.1,250,52.0
,AStar,0.1,500,103.0
,AStar,0.1,500,97.0
,AStar,0.1,500,101.0
,AStar,0.1,500,146.0
,AStar,0.1,500,97.0
,AStar,0.1,500,96.0
,Random (No Terminate),0.1,500,112.0
,Random (No Terminate),0.1,500,71.0
,Random (No Terminate),0.1,500,102.0
,Random (No Terminate),0.1,500,76.0
,Random (No Terminate),0.1,500,99.0
,Random (No Terminate),0.1,500,81.0
,Random (No Terminate),0.1,500,103.0
,Random (No Terminate),0.1,500,112.0
,Random (No Terminate),0.1,500,126.0
,Random (No Terminate),0.1,500,89.0
,Random (No Terminate),0.1,500,99.0
,Random (No Terminate),0.1,500,101.0
,Random (No Terminate),0.1,500,93.0
,Random (No Terminate),0.1,500,83.0
,Random (No Terminate),0.1,500,102.0
,Random (No Terminate),0.1,500,81.0
,Random (No Terminate),0.1,500,102.0
,Random (No Terminate),0.1,500,79.0
,Random (No Terminate),0.1,500,107.0
,Random (No Terminate),0.1,500,88.0
,Random (No Terminate),0.1,500,100.0
,Random (No Terminate),0.1,500,89.0
,Random (No Terminate),0.1,500,104.0
,Random (No Terminate),0.1,500,120.0
