index,Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,n_envs,n_episodes,max_steps,no_video,video_fps,video_steps,Normalized Return,Environment,compute_meta_rewards,create_videos,render_plans,env,wandb_version,eval_interval,num_iterations,eval_steps,policy_save_interval,collect_steps,summary_interval,train_num_steps,train_batch_size,env_batch_size,num_learn_samples,root_dir,n_collect_envs,n_eval_envs,n_video_envs,expand_all_actions,meta_discount,meta_time_limit,seed,computational_rewards,max_cost_of_computation,finish_on_terminate,min_train_computation_steps,no_rewrite_rewards,ablate_state_tokenise,ablate_struc_tokenise,object_discount,agent,transformer_d_model,transformer_n_layers,transformer_n_heads,n_lstm_layers,pretrained_percentile,object_level_config,_wandb,min_computation_steps,create_intermediate_search_policies,action_repeats,agent_name,collect_steps_per_iteration,discount,epsilon,epsilon_decay_steps,epsilon_schedule,experience_batch_size,final_epsilon,frame_stack,grayscale,initial_collect_steps,initial_epsilon,learning_rate,max_epochs,metrics,model_config,name,optimiser_config,procgen_env_name,replay_buffer_capacity,run_dir,target_network_update_period,train_steps_per_epoch,video_seconds,pretrained_epoch,pretrained_return,pretrained_path,return,steps,n_computations,total_computational_cost,percentiles,baselines
100,,$\hat{Q}^*$,0.25,63.25,12.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.34782608695652173,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,$\hat{Q}^*$,0.25,58.25,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10144927536231885,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,$\hat{Q}^*$,0.25,81.75,12.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.35507246376811596,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,$\hat{Q}^*$,0.25,11.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.007246376811594203,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,$\hat{Q}^*$,0.25,20.0,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.050724637681159424,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,$\hat{Q}^*$,0.25,5.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.007246376811594203,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,$\hat{Q}^*$,0.25,47.0,4.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.13043478260869565,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,$\hat{Q}^*$,0.25,3.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.007246376811594203,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,$\hat{Q}^*$,0.25,125.0,20.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.5869565217391305,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,$\hat{Q}^*$,0.25,5.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.007246376811594203,BigFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
