Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Random (No Terminate),0.25,155,40.0
Random (No Terminate),0.25,257,50.0
Random (No Terminate),0.25,235,48.0
Random (No Terminate),0.25,159,40.0
Random (No Terminate),0.25,332,82.0
Random (No Terminate),0.25,284,53.0
Random (No Terminate),0.25,314,56.0
Random (No Terminate),0.25,142,19.0
Random (No Terminate),0.25,202,43.0
Random (No Terminate),0.25,365,80.0
Random (No Terminate),0.25,249,49.0
Random (No Terminate),0.25,191,40.0
Random (No Terminate),0.25,176,44.0
Random (No Terminate),0.25,88,6.0
Random (No Terminate),0.25,147,40.0
Random (No Terminate),0.25,61,6.0
Random (No Terminate),0.25,441,83.0
Random (No Terminate),0.25,72,8.0
Random (No Terminate),0.25,39,3.0
Random (No Terminate),0.25,500,123.0
Random (No Terminate),0.25,500,102.0
Random (No Terminate),0.25,89,40.0
Random (No Terminate),0.25,210,26.0
Random (No Terminate),0.25,12,0.0
Random (No Terminate),0.25,197,55.0
Random (No Terminate),0.25,10,1.0
Random (No Terminate),0.25,349,56.0
Random (No Terminate),0.25,45,6.0
Random (No Terminate),0.25,203,44.0
Random (No Terminate),0.25,328,81.0
Random (No Terminate),0.25,53,4.0
Random (No Terminate),0.25,223,54.0
Random (No Terminate),0.25,500,110.0
Random (No Terminate),0.25,351,60.0
Random (No Terminate),0.25,85,12.0
Random (No Terminate),0.25,49,6.0
Random (No Terminate),0.25,331,57.0
Random (No Terminate),0.25,173,44.0
Random (No Terminate),0.25,43,10.0
Random (No Terminate),0.25,62,9.0
Random (No Terminate),0.25,290,63.0
Random (No Terminate),0.25,445,99.0
Random (No Terminate),0.25,452,82.0
Random (No Terminate),0.25,457,98.0
Random (No Terminate),0.25,415,88.0
Random (No Terminate),0.25,19,1.0
Random (No Terminate),0.25,188,43.0
Random (No Terminate),0.25,8,0.0
Random (No Terminate),0.25,148,40.0
Random (No Terminate),0.25,9,1.0
Random (No Terminate),0.25,32,3.0
Random (No Terminate),0.25,154,18.0
Random (No Terminate),0.25,6,2.0
Random (No Terminate),0.25,500,94.0
Random (No Terminate),0.25,377,63.0
Random (No Terminate),0.25,500,111.0
Random (No Terminate),0.25,466,96.0
Random (No Terminate),0.25,205,43.0
Random (No Terminate),0.25,18,1.0
Random (No Terminate),0.25,50,6.0
Random (No Terminate),0.25,193,40.0
Random (No Terminate),0.25,436,75.0
Random (No Terminate),0.25,309,57.0
