         6480212 function calls (6193349 primitive calls) in 49.846 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      296    0.001    0.000    0.576    0.002 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:381(<listcomp>)
      148    0.002    0.000    0.574    0.004 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:376(_convert)
     1036    0.007    0.000    0.573    0.001 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:3389(_convert_numpy_or_python_types)
    17878    0.188    0.000    0.555    0.000 /usr/lib/python3.8/copy.py:200(_deepcopy_list)
    44791    0.302    0.000    0.519    0.000 {built-in method builtins.all}
    35480    0.218    0.000    0.500    0.000 /tf/mlrl/meta/search_tree.py:396(__hash__)
      824    0.005    0.000    0.488    0.001 /usr/local/lib/python3.8/dist-packages/gym3/wrapper.py:28(callmethod)
      824    0.006    0.000    0.482    0.001 /usr/local/lib/python3.8/dist-packages/gym3/env.py:68(callmethod)
    18488    0.147    0.000    0.462    0.000 <__array_function__ internals>:177(concatenate)
     1096    0.008    0.000    0.456    0.000 /tf/mlrl/meta/tree_policy.py:60(evaluate)
    17192    0.141    0.000    0.450    0.000 /tf/mlrl/procgen/procgen_state.py:141(get_action_vector)
     8865    0.046    0.000    0.447    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_math_ops.py:3272(equal)
2137/1096    0.081    0.000    0.446    0.000 /tf/mlrl/meta/tree_policy.py:68(recursive_compute_value)
   164712    0.440    0.000    0.440    0.000 /tf/mlrl/experiments/procgen_meta.py:87(q_hat)
      686    0.006    0.000    0.431    0.001 /tf/mlrl/meta/meta_env.py:629(set_environment_to_root_state)
      686    0.007    0.000    0.422    0.001 /tf/mlrl/procgen/procgen_state.py:124(set_environment_to_state)
      444    0.013    0.000    0.419    0.001 /usr/local/lib/python3.8/dist-packages/keras/layers/convolutional/base_conv.py:217(convolution_op)
   158417    0.413    0.000    0.413    0.000 /tf/mlrl/meta/search_tree.py:334(get_children)
     7585    0.032    0.000    0.408    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:544(subtract)
   155968    0.402    0.000    0.402    0.000 /tf/mlrl/meta/search_tree.py:259(set_q_value)
      444    0.002    0.000    0.395    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:1140(convolution_v2)
      444    0.036    0.000    0.393    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:1166(convolution_internal)
      356    0.003    0.000    0.381    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1135(numpy)
     7585    0.040    0.000    0.376    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_math_ops.py:11071(sub)
20663/20613    0.252    0.000    0.376    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
67712/67657    0.271    0.000    0.360    0.000 {built-in method builtins.getattr}
     1950    0.009    0.000    0.355    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:1419(stack)
       10    0.000    0.000    0.341    0.034 /tf/mlrl/utils/env_wrappers.py:50(_step)
       10    0.000    0.000    0.330    0.033 /usr/local/lib/python3.8/dist-packages/tf_agents/policies/py_policy.py:140(action)
       10    0.001    0.000    0.330    0.033 /usr/local/lib/python3.8/dist-packages/tf_agents/policies/random_py_policy.py:112(_action)
    55428    0.323    0.000    0.323    0.000 {built-in method numpy.array}
   147924    0.322    0.000    0.322    0.000 {built-in method builtins.sum}
      296    0.028    0.000    0.321    0.001 /usr/local/lib/python3.8/dist-packages/keras/layers/core/dense.py:166(call)
      444    0.004    0.000    0.307    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:2742(_conv2d_expanded_batch)
      444    0.003    0.000    0.299    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_nn_ops.py:860(conv2d)
     3340    0.044    0.000    0.299    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:765(__init__)
145336/145168    0.286    0.000    0.287    0.000 {built-in method builtins.len}
    22016    0.166    0.000    0.281    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/eager/context.py:2161(executing_eagerly)
   126249    0.280    0.000    0.280    0.000 /tf/mlrl/meta/search_tree.py:354(<genexpr>)
     5498    0.021    0.000    0.276    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1256(shape)
   122253    0.268    0.000    0.268    0.000 /tf/mlrl/procgen/procgen_state.py:135(get_actions)
    32469    0.141    0.000    0.251    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
    10091    0.077    0.000    0.247    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:6670(name_scope)
    13800    0.134    0.000    0.245    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
     9764    0.097    0.000    0.244    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
     1036    0.048    0.000    0.235    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/input_spec.py:155(assert_input_compatibility)
    17832    0.135    0.000    0.225    0.000 /tf/mlrl/procgen/procgen_state.py:129(get_state_vector)
83823/83703    0.177    0.000    0.223    0.000 {built-in method builtins.isinstance}
    32875    0.146    0.000    0.221    0.000 /tf/mlrl/procgen/procgen_state.py:132(get_maximum_number_of_actions)
     2265    0.058    0.000    0.212    0.000 /tf/mlrl/meta/tree_policy.py:129(get_action_probabilities)
 1041/846    0.020    0.000    0.207    0.000 /tf/mlrl/meta/tree_policy.py:89(<listcomp>)
8308/4154    0.101    0.000    0.207    0.000 /usr/lib/python3.8/functools.py:947(__get__)
     2108    0.008    0.000    0.205    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/constant_op.py:340(_constant_tensor_conversion_function)
    54082    0.201    0.000    0.201    0.000 {built-in method numpy.zeros}
      138    0.005    0.000    0.196    0.001 /tf/mlrl/experiments/procgen_meta.py:28(repeated_step)
    17878    0.126    0.000    0.191    0.000 /usr/lib/python3.8/copy.py:242(_keep_alive)
      552    0.044    0.000    0.191    0.000 /tf/mlrl/experiments/procgen_meta.py:41(normalised_step)
       10    0.000    0.000    0.178    0.018 /usr/local/lib/python3.8/dist-packages/tensorflow_probability/python/distributions/distribution.py:1218(sample)
       10    0.000    0.000    0.174    0.017 /usr/local/lib/python3.8/dist-packages/tensorflow_probability/python/distributions/distribution.py:1203(_call_sample_n)
       10    0.002    0.000    0.172    0.017 /tf/mlrl/utils/procgen_gym3_wrapper.py:105(_step)
15021/14971    0.049    0.000    0.172    0.000 {built-in method builtins.hasattr}
      296    0.042    0.000    0.171    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:3488(matmul)
      148    0.007    0.000    0.169    0.001 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:820(get_outer_rank)
       10    0.168    0.017    0.168    0.017 /tf/mlrl/utils/env_wrappers.py:42(preprocess)
    90184    0.163    0.000    0.163    0.000 {built-in method builtins.id}
    65495    0.158    0.000    0.158    0.000 {method 'append' of 'list' objects}
     2096    0.008    0.000    0.148    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:846(dims)
     8865    0.037    0.000    0.148    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:5979(executing_eagerly_outside_functions)
      552    0.011    0.000    0.147    0.000 /usr/local/lib/python3.8/dist-packages/gym3/interop.py:274(step)
      474    0.009    0.000    0.146    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:1231(is_compatible_with)
      592    0.003    0.000    0.146    0.000 /usr/local/lib/python3.8/dist-packages/gym3/wrapper.py:25(act)
      592    0.006    0.000    0.143    0.000 /usr/local/lib/python3.8/dist-packages/procgen/env.py:197(act)
    17192    0.083    0.000    0.143    0.000 /tf/mlrl/utils/__init__.py:10(one_hot)
     2096    0.034    0.000    0.140    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:858(<listcomp>)
    22032    0.138    0.000    0.138    0.000 /tf/mlrl/meta/search_tree.py:140(__init__)
      296    0.005    0.000    0.135    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:247(getfullargspec)
      592    0.126    0.000    0.135    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:352(act)
     4154    0.040    0.000    0.128    0.000 /tf/mlrl/meta/search_tree.py:205(path_return)
     1292    0.007    0.000    0.128    0.000 /usr/local/lib/python3.8/dist-packages/gym3/extract_dict_ob.py:9(observe)
      296    0.023    0.000    0.126    0.000 /usr/lib/python3.8/inspect.py:1102(getfullargspec)
      740    0.013    0.000    0.121    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:3479(bias_add)
     1292    0.011    0.000    0.121    0.000 /usr/local/lib/python3.8/dist-packages/gym3/wrapper.py:19(observe)
      326    0.003    0.000    0.116    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:66(reshape)
    10446    0.066    0.000    0.115    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:355(flatten)
       10    0.001    0.000    0.115    0.011 /usr/local/lib/python3.8/dist-packages/tensorflow_probability/python/distributions/categorical.py:234(_sample_n)
     1292    0.037    0.000    0.109    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:344(observe)
     1036    0.008    0.000    0.109    0.000 /usr/local/lib/python3.8/dist-packages/keras/utils/traceback_utils.py:74(inject_argument_info_in_traceback)
      326    0.008    0.000    0.108    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_array_ops.py:8457(reshape)
    28634    0.104    0.000    0.104    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
     1036    0.047    0.000    0.100    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_decorator.py:61(make_decorator)
      888    0.007    0.000    0.094    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2449(_maybe_cast_inputs)
     2219    0.049    0.000    0.092    0.000 /tf/mlrl/meta/tree_policy.py:140(<dictcomp>)
     1600    0.007    0.000    0.090    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:691(pack_sequence_as)
      640    0.012    0.000    0.087    0.000 /tf/mlrl/meta/tree_tokenisation.py:50(pad)
     1041    0.006    0.000    0.087    0.000 <__array_function__ internals>:177(mean)
      148    0.002    0.000    0.085    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:108(getargspec)
    12842    0.063    0.000    0.085    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:199(__init__)
  592/296    0.007    0.000    0.085    0.000 /usr/lib/python3.8/inspect.py:2218(_signature_from_callable)
     1600    0.014    0.000    0.084    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:651(_pack_sequence_as)
      740    0.004    0.000    0.080    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_nn_ops.py:646(bias_add)
      148    0.002    0.000    0.079    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_inspect.py:65(_getargspec)
      198    0.010    0.000    0.075    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:936(cast)
