         17726585 function calls (16906589 primitive calls) in 125.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
15864/640    0.176    0.000    1.340    0.002 /tf/mlrl/meta/search_tree.py:431(recursive_copy)
       95    0.003    0.000    1.333    0.014 /tf/mlrl/meta/meta_env.py:247(reset)
   285552    0.816    0.000    1.320    0.000 /tf/mlrl/meta/search_tree.py:250(<genexpr>)
    15864    0.123    0.000    1.302    0.000 /tf/mlrl/meta/search_tree.py:252(get_exp_root_return)
     7580    0.022    0.000    1.295    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:381(<listcomp>)
     7640    0.058    0.000    1.276    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1135(numpy)
     3790    0.037    0.000    1.273    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:376(_convert)
    26530    0.435    0.000    1.236    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/tf_decorator.py:61(make_decorator)
     7610    0.044    0.000    1.233    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:66(reshape)
   136951    0.707    0.000    1.232    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/eager/context.py:2161(executing_eagerly)
     3790    0.021    0.000    1.196    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:869(<listcomp>)
   201570    0.687    0.000    1.168    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:355(flatten)
    33350    0.127    0.000    1.154    0.000 /usr/local/lib/python3.8/dist-packages/gym3/extract_dict_ob.py:9(observe)
     7580    0.081    0.000    1.105    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2162(_clear_losses)
     7610    0.054    0.000    1.096    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_array_ops.py:8457(reshape)
     7935    1.033    0.000    1.060    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:383(call_c_func)
    10948    0.133    0.000    1.040    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:1398(binary_op_wrapper)
    33350    0.111    0.000    1.027    0.000 /usr/local/lib/python3.8/dist-packages/gym3/wrapper.py:19(observe)
    26530    0.124    0.000    1.008    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2943(_flatten_layers)
    26530    0.146    0.000    1.007    0.000 /usr/lib/python3.8/contextlib.py:415(enter_context)
    18950    0.084    0.000    0.976    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_nn_ops.py:646(bias_add)
    33350    0.247    0.000    0.916    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:344(observe)
     3800    0.045    0.000    0.909    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_array_ops.py:8561(reshape_eager_fallback)
    53358    0.298    0.000    0.887    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:6670(name_scope)
    26530    0.302    0.000    0.850    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2949(_flatten_modules)
      900    0.005    0.000    0.843    0.001 /tf/mlrl/meta/tree_policy.py:60(evaluate)
   150609    0.494    0.000    0.837    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/traceback_utils.py:32(is_traceback_filtering_enabled)
 1955/900    0.039    0.000    0.836    0.001 /tf/mlrl/meta/tree_policy.py:68(recursive_compute_value)
322762/321994    0.715    0.000    0.823    0.000 {built-in method builtins.getattr}
    26530    0.148    0.000    0.823    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:3380(_in_functional_construction_mode)
     3790    0.021    0.000    0.818    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2483(_cast_single_input)
     4145    0.023    0.000    0.767    0.000 /tf/mlrl/procgen/procgen_state.py:99(set_environment_to_state)
   163150    0.514    0.000    0.759    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:839(rank)
     3790    0.052    0.000    0.758    0.000 /usr/local/lib/python3.8/dist-packages/procgen/env.py:140(get_state)
     7610    0.089    0.000    0.727    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/eager/execute.py:227(args_to_matching_eager)
31088/15864    0.279    0.000    0.720    0.000 /usr/lib/python3.8/copy.py:128(deepcopy)
    34850    0.400    0.000    0.720    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:6923(__enter__)
    39845    0.138    0.000    0.699    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:691(pack_sequence_as)
     4145    0.032    0.000    0.689    0.000 /usr/local/lib/python3.8/dist-packages/procgen/env.py:149(set_state)
432338/428528    0.663    0.000    0.675    0.000 {built-in method builtins.len}
    26530    0.214    0.000    0.671    0.000 /usr/lib/python3.8/contextlib.py:482(__exit__)
     3840    0.122    0.000    0.650    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:936(cast)
   127744    0.426    0.000    0.638    0.000 /tf/mlrl/meta/q_estimation.py:45(<listcomp>)
    69351    0.321    0.000    0.601    0.000 {built-in method builtins.all}
    26530    0.206    0.000    0.591    0.000 /usr/local/lib/python3.8/dist-packages/keras/engine/base_layer.py:2477(_should_cast_single_input)
    37900    0.269    0.000    0.575    0.000 /usr/lib/python3.8/inspect.py:2489(__init__)
    11390    0.061    0.000    0.571    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:888(__getitem__)
     3790    0.016    0.000    0.564    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:3829(softmax_v2)
    39845    0.280    0.000    0.560    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:651(_pack_sequence_as)
    48130    0.306    0.000    0.555    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:281(_maybe_copy_dict)
    31088    0.105    0.000    0.552    0.000 /tf/mlrl/meta/tree_tokenisation.py:64(encode_node_id)
     3790    0.045    0.000    0.550    0.000 /usr/local/lib/python3.8/dist-packages/keras/layers/reshaping/flatten.py:67(call)
     3790    0.030    0.000    0.548    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/nn_ops.py:3743(_wrap_2d_function)
 1055/820    0.005    0.000    0.545    0.001 /tf/mlrl/meta/tree_policy.py:89(<listcomp>)
   269760    0.480    0.000    0.530    0.000 /tf/mlrl/meta/search_tree.py:236(get_q_value)
     7693    0.073    0.000    0.512    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:1962(tensor_equals)
   220051    0.508    0.000    0.508    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/eager/context.py:973(executing_eagerly)
     7580    0.027    0.000    0.484    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/resource_variable_ops.py:558(_shape_tuple)
   201570    0.481    0.000    0.481    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
    14780    0.052    0.000    0.475    0.000 /usr/local/lib/python3.8/dist-packages/gym3/wrapper.py:25(act)
     3790    0.014    0.000    0.474    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:857(<listcomp>)
    14780    0.053    0.000    0.470    0.000 /usr/local/lib/python3.8/dist-packages/gym3/wrapper.py:22(get_info)
     7580    0.038    0.000    0.467    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_math_ops.py:5986(mat_mul)
    34850    0.190    0.000    0.463    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:6957(__exit__)
     7580    0.080    0.000    0.458    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/resource_variable_ops.py:553(_shape_as_list)
    31088    0.391    0.000    0.447    0.000 /tf/mlrl/utils/__init__.py:23(compute_positional_encoding)
    14780    0.088    0.000    0.423    0.000 /usr/local/lib/python3.8/dist-packages/procgen/env.py:197(act)
       10    0.000    0.000    0.420    0.042 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:194(unstack_actions)
       10    0.003    0.000    0.420    0.042 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/batched_py_environment.py:197(<listcomp>)
    14780    0.137    0.000    0.417    0.000 /usr/local/lib/python3.8/dist-packages/gym3/libenv.py:363(get_info)
      650    0.003    0.000    0.406    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:7273(__next__)
    78660    0.277    0.000    0.404    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:1129(dtype)
    76970    0.196    0.000    0.401    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/util/nest.py:912(<genexpr>)
      650    0.033    0.000    0.399    0.001 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
     7580    0.021    0.000    0.388    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:383(<listcomp>)
   246680    0.379    0.000    0.379    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:265(value)
    15160    0.068    0.000    0.375    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_nn_ops.py:10502(relu)
     3790    0.014    0.000    0.369    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/utils/nest_utils.py:846(<listcomp>)
    15864    0.107    0.000    0.361    0.000 /usr/lib/python3.8/copy.py:200(_deepcopy_list)
    19654    0.348    0.000    0.350    0.000 /tf/mlrl/meta/search_tree.py:139(__init__)
