index,Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,n_envs,n_episodes,max_steps,no_video,video_fps,video_steps,Normalized Return,Environment
73,,$\hat{Q}^*$,0.25,12.25,1.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.03614457831325301,BigFish
72,,$\hat{Q}^*$,0.25,76.75,7.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.18674698795180722,BigFish
71,,$\hat{Q}^*$,0.25,33.75,4.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10843373493975904,BigFish
70,,$\hat{Q}^*$,0.25,26.75,2.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04819277108433735,BigFish
69,,$\hat{Q}^*$,0.25,11.25,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
68,,$\hat{Q}^*$,0.25,83.5,15.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.3795180722891566,BigFish
89,,$\hat{Q}^*$,0.25,10.25,1.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.030120481927710843,BigFish
90,,$\hat{Q}^*$,0.25,5.5,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
91,,$\hat{Q}^*$,0.25,5.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
92,,$\hat{Q}^*$,0.25,125.0,20.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.4879518072289157,BigFish
114,,$\hat{Q}^*$,0.25,40.75,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08433734939759036,BigFish
113,,$\hat{Q}^*$,0.25,33.75,3.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0783132530120482,BigFish
112,,$\hat{Q}^*$,0.25,19.25,2.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.06626506024096386,BigFish
111,,$\hat{Q}^*$,0.25,27.75,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
110,,$\hat{Q}^*$,0.25,8.0,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
109,,$\hat{Q}^*$,0.25,21.5,0.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.018072289156626505,BigFish
108,,$\hat{Q}^*$,0.25,13.25,1.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.030120481927710843,BigFish
107,,$\hat{Q}^*$,0.25,8.0,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
106,,$\hat{Q}^*$,0.25,90.25,10.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.25301204819277107,BigFish
105,,$\hat{Q}^*$,0.25,26.0,4.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10240963855421686,BigFish
67,,$\hat{Q}^*$,0.25,125.0,13.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.3313253012048193,BigFish
104,,$\hat{Q}^*$,0.25,29.25,5.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.12650602409638553,BigFish
102,,$\hat{Q}^*$,0.25,16.0,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04216867469879518,BigFish
101,,$\hat{Q}^*$,0.25,15.75,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
100,,$\hat{Q}^*$,0.25,63.25,12.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2891566265060241,BigFish
99,,$\hat{Q}^*$,0.25,58.25,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08433734939759036,BigFish
98,,$\hat{Q}^*$,0.25,81.75,12.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.29518072289156627,BigFish
97,,$\hat{Q}^*$,0.25,11.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
96,,$\hat{Q}^*$,0.25,20.0,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04216867469879518,BigFish
95,,$\hat{Q}^*$,0.25,5.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
